MMHT2014nlo68cl	1.00 GeV^2
x  xs-  delta_xs-
4.168694E-03  -3.908528E-03  2.946205E-03
4.207266E-03  -3.908746E-03  2.944119E-03
4.246196E-03  -3.908878E-03  2.941958E-03
4.285485E-03  -3.908920E-03  2.939724E-03
4.325138E-03  -3.908874E-03  2.937415E-03
4.365158E-03  -3.908738E-03  2.935032E-03
4.405549E-03  -3.908510E-03  2.932577E-03
4.446313E-03  -3.908190E-03  2.930049E-03
4.487454E-03  -3.907777E-03  2.927449E-03
4.528976E-03  -3.907270E-03  2.924778E-03
4.570882E-03  -3.906668E-03  2.922035E-03
4.613176E-03  -3.905970E-03  2.919223E-03
4.655861E-03  -3.905175E-03  2.916340E-03
4.698941E-03  -3.904281E-03  2.913389E-03
4.742420E-03  -3.903289E-03  2.910369E-03
4.786301E-03  -3.902197E-03  2.907281E-03
4.830588E-03  -3.901004E-03  2.904126E-03
4.875285E-03  -3.899709E-03  2.900905E-03
4.920395E-03  -3.898312E-03  2.897619E-03
4.965923E-03  -3.896810E-03  2.894267E-03
5.011872E-03  -3.895204E-03  2.890851E-03
5.058247E-03  -3.893492E-03  2.887373E-03
5.105050E-03  -3.891673E-03  2.883832E-03
5.152286E-03  -3.889747E-03  2.880229E-03
5.199960E-03  -3.887712E-03  2.876566E-03
5.248075E-03  -3.885567E-03  2.872843E-03
5.296634E-03  -3.883312E-03  2.869061E-03
5.345644E-03  -3.880945E-03  2.865222E-03
5.395106E-03  -3.878466E-03  2.861326E-03
5.445027E-03  -3.875873E-03  2.857375E-03
5.495409E-03  -3.873165E-03  2.853369E-03
5.546257E-03  -3.870342E-03  2.849310E-03
5.597576E-03  -3.867403E-03  2.845198E-03
5.649370E-03  -3.864346E-03  2.841035E-03
5.701643E-03  -3.861171E-03  2.836822E-03
5.754399E-03  -3.857876E-03  2.832561E-03
5.807644E-03  -3.854461E-03  2.828252E-03
5.861382E-03  -3.850925E-03  2.823898E-03
5.915616E-03  -3.847267E-03  2.819498E-03
5.970353E-03  -3.843485E-03  2.815055E-03
6.025596E-03  -3.839577E-03  2.810568E-03
6.081350E-03  -3.835522E-03  2.806018E-03
6.137620E-03  -3.831316E-03  2.801406E-03
6.194411E-03  -3.826960E-03  2.796734E-03
6.251727E-03  -3.822451E-03  2.792005E-03
6.309573E-03  -3.817790E-03  2.787223E-03
6.367955E-03  -3.812977E-03  2.782389E-03
6.426877E-03  -3.808010E-03  2.777509E-03
6.486344E-03  -3.802889E-03  2.772584E-03
6.546362E-03  -3.797613E-03  2.767618E-03
6.606934E-03  -3.792182E-03  2.762615E-03
6.668068E-03  -3.786596E-03  2.757577E-03
6.729767E-03  -3.780853E-03  2.752509E-03
6.792036E-03  -3.774953E-03  2.747413E-03
6.854882E-03  -3.768896E-03  2.742294E-03
6.918310E-03  -3.762681E-03  2.737155E-03
6.982324E-03  -3.756307E-03  2.731999E-03
7.046931E-03  -3.749774E-03  2.726830E-03
7.112135E-03  -3.743081E-03  2.721653E-03
7.177943E-03  -3.736228E-03  2.716470E-03
7.244360E-03  -3.729214E-03  2.711286E-03
7.311391E-03  -3.722039E-03  2.706104E-03
7.379042E-03  -3.714701E-03  2.700929E-03
7.447320E-03  -3.707201E-03  2.695764E-03
7.516229E-03  -3.699538E-03  2.690614E-03
7.585776E-03  -3.691711E-03  2.685483E-03
7.655966E-03  -3.683720E-03  2.680375E-03
7.726806E-03  -3.675564E-03  2.675293E-03
7.798301E-03  -3.667242E-03  2.670243E-03
7.870458E-03  -3.658754E-03  2.665229E-03
7.943282E-03  -3.650100E-03  2.660255E-03
8.016781E-03  -3.641280E-03  2.655327E-03
8.090959E-03  -3.632332E-03  2.650477E-03
8.165824E-03  -3.623264E-03  2.645718E-03
8.241381E-03  -3.614062E-03  2.641046E-03
8.317638E-03  -3.604713E-03  2.636459E-03
8.394600E-03  -3.595205E-03  2.631952E-03
8.472274E-03  -3.585525E-03  2.627525E-03
8.550667E-03  -3.575660E-03  2.623177E-03
8.629785E-03  -3.565598E-03  2.618904E-03
8.709636E-03  -3.555325E-03  2.614708E-03
8.790225E-03  -3.544829E-03  2.610587E-03
8.871560E-03  -3.534098E-03  2.606542E-03
8.953648E-03  -3.523117E-03  2.602573E-03
9.036495E-03  -3.511875E-03  2.598683E-03
9.120108E-03  -3.500359E-03  2.594872E-03
9.204496E-03  -3.488556E-03  2.591143E-03
9.289664E-03  -3.476453E-03  2.587500E-03
9.375620E-03  -3.464037E-03  2.583945E-03
9.462372E-03  -3.451296E-03  2.580483E-03
9.549926E-03  -3.438216E-03  2.577119E-03
9.638290E-03  -3.424786E-03  2.573859E-03
9.727472E-03  -3.410992E-03  2.570709E-03
9.817479E-03  -3.396822E-03  2.567675E-03
9.908319E-03  -3.382262E-03  2.564766E-03
1.000000E-02  -3.367300E-03  2.561991E-03
1.198397E-02  -3.041927E-03  2.571495E-03
1.396794E-02  -2.681581E-03  2.691472E-03
1.595190E-02  -2.293859E-03  2.917017E-03
1.793587E-02  -1.893552E-03  3.220882E-03
1.991984E-02  -1.467912E-03  3.568075E-03
2.190381E-02  -1.026272E-03  3.950833E-03
2.388778E-02  -5.847907E-04  4.359017E-03
2.587174E-02  -1.443679E-04  4.771422E-03
2.785571E-02  2.943048E-04  5.175137E-03
2.983968E-02  7.306897E-04  5.562730E-03
3.182365E-02  1.167491E-03  5.945193E-03
3.380762E-02  1.607158E-03  6.328946E-03
3.579158E-02  2.047527E-03  6.698083E-03
3.777555E-02  2.486973E-03  7.042022E-03
3.975952E-02  2.924284E-03  7.354093E-03
4.174349E-02  3.358387E-03  7.644530E-03
4.372745E-02  3.787489E-03  7.931089E-03
4.571142E-02  4.209906E-03  8.209471E-03
4.769539E-02  4.624404E-03  8.476341E-03
4.967936E-02  5.030096E-03  8.729332E-03
5.166333E-02  5.426358E-03  8.966825E-03
5.364729E-02  5.812771E-03  9.187780E-03
5.563126E-02  6.189073E-03  9.391608E-03
5.761523E-02  6.555124E-03  9.578069E-03
5.959920E-02  6.910879E-03  9.747198E-03
6.158317E-02  7.259526E-03  9.901628E-03
6.356713E-02  7.606330E-03  1.004659E-02
6.555110E-02  7.949328E-03  1.018241E-02
6.753507E-02  8.286726E-03  1.030923E-02
6.951904E-02  8.617050E-03  1.042718E-02
7.150301E-02  8.939097E-03  1.053635E-02
7.348697E-02  9.251888E-03  1.063686E-02
7.547094E-02  9.554637E-03  1.072878E-02
7.745491E-02  9.846716E-03  1.081221E-02
7.943888E-02  1.012763E-02  1.088724E-02
8.142285E-02  1.039902E-02  1.095459E-02
8.340681E-02  1.066559E-02  1.101618E-02
8.539078E-02  1.092651E-02  1.107256E-02
8.737475E-02  1.118079E-02  1.112409E-02
8.935872E-02  1.142756E-02  1.117103E-02
9.134269E-02  1.166613E-02  1.121359E-02
9.332665E-02  1.189587E-02  1.125189E-02
9.531062E-02  1.211630E-02  1.128604E-02
9.729459E-02  1.232699E-02  1.131606E-02
9.927856E-02  1.252761E-02  1.134197E-02
1.012625E-01  1.271899E-02  1.136422E-02
1.032465E-01  1.290487E-02  1.138466E-02
1.052305E-01  1.308519E-02  1.140386E-02
1.072144E-01  1.325955E-02  1.142215E-02
1.091984E-01  1.342765E-02  1.143976E-02
1.111824E-01  1.358919E-02  1.145686E-02
1.131663E-01  1.374394E-02  1.147353E-02
