NNPDF30_nlo_as_0118	1.00 GeV^2
x  xs-  delta_xs-
9.120108E-03  -5.892889E-03  1.081512E-02
9.204496E-03  -5.901985E-03  1.085679E-02
9.289664E-03  -5.911155E-03  1.089981E-02
9.375620E-03  -5.920386E-03  1.094433E-02
9.462372E-03  -5.929663E-03  1.099052E-02
9.549926E-03  -5.938972E-03  1.103850E-02
9.638290E-03  -5.948299E-03  1.108839E-02
9.727472E-03  -5.957629E-03  1.114031E-02
9.817479E-03  -5.966949E-03  1.119432E-02
9.908319E-03  -5.976244E-03  1.125050E-02
1.000000E-02  -5.985500E-03  1.130887E-02
1.198397E-02  -6.138704E-03  1.275839E-02
1.396794E-02  -6.172849E-03  1.365453E-02
1.595190E-02  -6.123698E-03  1.412853E-02
1.793587E-02  -6.068260E-03  1.437715E-02
1.991984E-02  -6.073718E-03  1.451180E-02
2.190381E-02  -6.175679E-03  1.497278E-02
2.388778E-02  -6.229624E-03  1.573701E-02
2.587174E-02  -6.141927E-03  1.637915E-02
2.785571E-02  -5.869107E-03  1.651581E-02
2.983968E-02  -5.491594E-03  1.627813E-02
3.182365E-02  -5.046734E-03  1.602582E-02
3.380762E-02  -4.543078E-03  1.592410E-02
3.579158E-02  -3.987934E-03  1.595710E-02
3.777555E-02  -3.387578E-03  1.600278E-02
3.975952E-02  -2.747391E-03  1.591783E-02
4.174349E-02  -2.071992E-03  1.566047E-02
4.372745E-02  -1.369362E-03  1.531517E-02
4.571142E-02  -6.471464E-04  1.495458E-02
4.769539E-02  8.852797E-05  1.462535E-02
4.967936E-02  8.327329E-04  1.434786E-02
5.166333E-02  1.581491E-03  1.412037E-02
5.364729E-02  2.331587E-03  1.392558E-02
5.563126E-02  3.080416E-03  1.373816E-02
5.761523E-02  3.826133E-03  1.353147E-02
5.959920E-02  4.575237E-03  1.329709E-02
6.158317E-02  5.328460E-03  1.307128E-02
6.356713E-02  6.082547E-03  1.288859E-02
6.555110E-02  6.834789E-03  1.277007E-02
6.753507E-02  7.582928E-03  1.272241E-02
6.951904E-02  8.325089E-03  1.273942E-02
7.150301E-02  9.059714E-03  1.280509E-02
7.348697E-02  9.785516E-03  1.289743E-02
7.547094E-02  1.050143E-02  1.299218E-02
7.745491E-02  1.120660E-02  1.306578E-02
7.943888E-02  1.190030E-02  1.309738E-02
8.142285E-02  1.258198E-02  1.307024E-02
8.340681E-02  1.325265E-02  1.297015E-02
8.539078E-02  1.395625E-02  1.273174E-02
8.737475E-02  1.469287E-02  1.239559E-02
8.935872E-02  1.543735E-02  1.204252E-02
9.134269E-02  1.616772E-02  1.173173E-02
9.332665E-02  1.686480E-02  1.149412E-02
9.531062E-02  1.751183E-02  1.133103E-02
9.729459E-02  1.809420E-02  1.121924E-02
9.927856E-02  1.859921E-02  1.112106E-02
1.012625E-01  1.902439E-02  1.099211E-02
1.032465E-01  1.939696E-02  1.081466E-02
1.052305E-01  1.972336E-02  1.062428E-02
1.072144E-01  2.000720E-02  1.045301E-02
1.091984E-01  2.025181E-02  1.032101E-02
