x	s-sbar	delta
5.0582E-03	-1.8267E-02	3.3210E-02
5.1050E-03	-1.8191E-02	3.3072E-02
5.1523E-03	-1.8116E-02	3.2935E-02
5.2000E-03	-1.8042E-02	3.2798E-02
5.2481E-03	-1.7967E-02	3.2661E-02
5.2966E-03	-1.7893E-02	3.2526E-02
5.3456E-03	-1.7819E-02	3.2390E-02
5.3951E-03	-1.7746E-02	3.2255E-02
5.4450E-03	-1.7672E-02	3.2121E-02
5.4954E-03	-1.7599E-02	3.1988E-02
5.5463E-03	-1.7526E-02	3.1854E-02
5.5976E-03	-1.7454E-02	3.1722E-02
5.6494E-03	-1.7382E-02	3.1590E-02
5.7016E-03	-1.7310E-02	3.1458E-02
5.7544E-03	-1.7238E-02	3.1327E-02
5.8076E-03	-1.7167E-02	3.1196E-02
5.8614E-03	-1.7096E-02	3.1066E-02
5.9156E-03	-1.7025E-02	3.0936E-02
5.9704E-03	-1.6954E-02	3.0807E-02
6.0256E-03	-1.6884E-02	3.0679E-02
6.0814E-03	-1.6814E-02	3.0550E-02
6.1376E-03	-1.6744E-02	3.0423E-02
6.1944E-03	-1.6675E-02	3.0296E-02
6.2517E-03	-1.6605E-02	3.0169E-02
6.3096E-03	-1.6536E-02	3.0043E-02
6.3680E-03	-1.6468E-02	2.9917E-02
6.4269E-03	-1.6399E-02	2.9792E-02
6.4863E-03	-1.6331E-02	2.9667E-02
6.5464E-03	-1.6263E-02	2.9543E-02
6.6069E-03	-1.6195E-02	2.9419E-02
6.6681E-03	-1.6128E-02	2.9296E-02
6.7298E-03	-1.6061E-02	2.9173E-02
6.7920E-03	-1.5994E-02	2.9050E-02
6.8549E-03	-1.5927E-02	2.8928E-02
6.9183E-03	-1.5861E-02	2.8807E-02
6.9823E-03	-1.5794E-02	2.8686E-02
7.0469E-03	-1.5728E-02	2.8565E-02
7.1121E-03	-1.5663E-02	2.8445E-02
7.1779E-03	-1.5597E-02	2.8325E-02
7.2444E-03	-1.5532E-02	2.8206E-02
7.3114E-03	-1.5467E-02	2.8087E-02
7.3790E-03	-1.5402E-02	2.7969E-02
7.4473E-03	-1.5338E-02	2.7851E-02
7.5162E-03	-1.5273E-02	2.7734E-02
