Q2	Fs	dFs
5.2400E+00	2.9319E-05	1.3973E-04
5.2500E+00	2.9190E-05	1.3929E-04
5.2600E+00	2.9062E-05	1.3886E-04
5.2700E+00	2.8935E-05	1.3843E-04
5.2800E+00	2.8809E-05	1.3800E-04
5.2900E+00	2.8683E-05	1.3757E-04
5.3000E+00	2.8558E-05	1.3714E-04
5.3100E+00	2.8433E-05	1.3671E-04
5.3200E+00	2.8309E-05	1.3629E-04
5.3300E+00	2.8186E-05	1.3587E-04
5.3400E+00	2.8064E-05	1.3545E-04
5.3500E+00	2.7942E-05	1.3503E-04
5.3600E+00	2.7821E-05	1.3461E-04
5.3700E+00	2.7700E-05	1.3420E-04
5.3800E+00	2.7580E-05	1.3378E-04
5.3900E+00	2.7461E-05	1.3337E-04
5.4000E+00	2.7343E-05	1.3296E-04
5.4100E+00	2.7225E-05	1.3255E-04
5.4200E+00	2.7107E-05	1.3214E-04
5.4300E+00	2.6991E-05	1.3173E-04
5.4400E+00	2.6875E-05	1.3133E-04
5.4500E+00	2.6759E-05	1.3092E-04
5.4600E+00	2.6644E-05	1.3052E-04
5.4700E+00	2.6530E-05	1.3012E-04
5.4800E+00	2.6417E-05	1.2972E-04
5.4900E+00	2.6304E-05	1.2932E-04
5.5000E+00	2.6191E-05	1.2893E-04
5.5100E+00	2.6079E-05	1.2853E-04
5.5200E+00	2.5968E-05	1.2814E-04
5.5300E+00	2.5858E-05	1.2775E-04
5.5400E+00	2.5748E-05	1.2736E-04
5.5500E+00	2.5638E-05	1.2697E-04
5.5600E+00	2.5529E-05	1.2658E-04
5.5700E+00	2.5421E-05	1.2619E-04
5.5800E+00	2.5313E-05	1.2581E-04
5.5900E+00	2.5206E-05	1.2543E-04
5.6000E+00	2.5099E-05	1.2504E-04
5.6100E+00	2.4993E-05	1.2466E-04
5.6200E+00	2.4888E-05	1.2428E-04
5.6300E+00	2.4783E-05	1.2391E-04
5.6400E+00	2.4679E-05	1.2353E-04
5.6500E+00	2.4575E-05	1.2316E-04
5.6600E+00	2.4471E-05	1.2278E-04
5.6700E+00	2.4369E-05	1.2241E-04
5.6800E+00	2.4266E-05	1.2204E-04
5.6900E+00	2.4165E-05	1.2167E-04
5.7000E+00	2.4064E-05	1.2130E-04
5.7100E+00	2.3963E-05	1.2094E-04
5.7200E+00	2.3863E-05	1.2057E-04
5.7300E+00	2.3763E-05	1.2021E-04
5.7400E+00	2.3664E-05	1.1984E-04
5.7500E+00	2.3566E-05	1.1948E-04
5.7600E+00	2.3468E-05	1.1912E-04
5.7700E+00	2.3370E-05	1.1876E-04
5.7800E+00	2.3273E-05	1.1841E-04
5.7900E+00	2.3177E-05	1.1805E-04
