Q2	Fs	dFs
5.1900E+00	1.7932E-04	4.5828E-16
5.2000E+00	1.7832E-04	4.5576E-16
5.2100E+00	1.7733E-04	4.5327E-16
5.2200E+00	1.7634E-04	4.5077E-16
5.2300E+00	1.7536E-04	4.4832E-16
5.2400E+00	1.7439E-04	4.4586E-16
5.2500E+00	1.7342E-04	4.4343E-16
5.2600E+00	1.7246E-04	4.4099E-16
5.2700E+00	1.7150E-04	4.3860E-16
5.2800E+00	1.7055E-04	4.3620E-16
5.2900E+00	1.6960E-04	4.3383E-16
5.3000E+00	1.6866E-04	4.3146E-16
5.3100E+00	1.6773E-04	4.2911E-16
5.3200E+00	1.6680E-04	4.2679E-16
5.3300E+00	1.6588E-04	4.2446E-16
5.3400E+00	1.6496E-04	4.2214E-16
5.3500E+00	1.6405E-04	4.1984E-16
5.3600E+00	1.6314E-04	4.1757E-16
5.3700E+00	1.6224E-04	4.1531E-16
5.3800E+00	1.6135E-04	4.1305E-16
5.3900E+00	1.6046E-04	4.1081E-16
5.4000E+00	1.5957E-04	4.0857E-16
5.4100E+00	1.5869E-04	4.0637E-16
5.4200E+00	1.5782E-04	4.0417E-16
5.4300E+00	1.5695E-04	4.0197E-16
5.4400E+00	1.5609E-04	3.9980E-16
5.4500E+00	1.5523E-04	3.9764E-16
5.4600E+00	1.5437E-04	3.9547E-16
5.4700E+00	1.5353E-04	3.9336E-16
5.4800E+00	1.5268E-04	3.9123E-16
5.4900E+00	1.5184E-04	3.8911E-16
5.5000E+00	1.5101E-04	3.8701E-16
5.5100E+00	1.5018E-04	3.8491E-16
5.5200E+00	1.4936E-04	3.8285E-16
5.5300E+00	1.4854E-04	3.8079E-16
5.5400E+00	1.4773E-04	3.7874E-16
5.5500E+00	1.4692E-04	3.7670E-16
5.5600E+00	1.4611E-04	3.7467E-16
5.5700E+00	1.4532E-04	3.7266E-16
5.5800E+00	1.4452E-04	3.7065E-16
5.5900E+00	1.4373E-04	3.6865E-16
5.6000E+00	1.4295E-04	3.6668E-16
5.6100E+00	1.4217E-04	3.6469E-16
5.6200E+00	1.4139E-04	3.6274E-16
5.6300E+00	1.4062E-04	3.6082E-16
5.6400E+00	1.3985E-04	3.5887E-16
5.6500E+00	1.3909E-04	3.5695E-16
5.6600E+00	1.3833E-04	3.5504E-16
5.6700E+00	1.3758E-04	3.5315E-16
5.6800E+00	1.3683E-04	3.5126E-16
5.6900E+00	1.3609E-04	3.4938E-16
5.7000E+00	1.3535E-04	3.4750E-16
5.7100E+00	1.3461E-04	3.4564E-16
5.7200E+00	1.3388E-04	3.4379E-16
5.7300E+00	1.3315E-04	3.4196E-16
5.7400E+00	1.3243E-04	3.4015E-16
5.7500E+00	1.3171E-04	3.3832E-16
5.7600E+00	1.3100E-04	3.3654E-16
