Q2	Fs
7.8400E+00	9.6828E-06
7.8500E+00	9.6494E-06
7.8600E+00	9.6162E-06
7.8700E+00	9.5831E-06
7.8800E+00	9.5502E-06
7.8900E+00	9.5174E-06
7.9000E+00	9.4847E-06
7.9100E+00	9.4522E-06
7.9200E+00	9.4199E-06
7.9300E+00	9.3876E-06
7.9400E+00	9.3555E-06
7.9500E+00	9.3236E-06
7.9600E+00	9.2917E-06
7.9700E+00	9.2600E-06
7.9800E+00	9.2285E-06
7.9900E+00	9.1971E-06
8.0000E+00	9.1658E-06
8.0100E+00	9.1346E-06
8.0200E+00	9.1036E-06
8.0300E+00	9.0727E-06
8.0400E+00	9.0419E-06
8.0500E+00	9.0113E-06
8.0600E+00	8.9808E-06
8.0700E+00	8.9504E-06
8.0800E+00	8.9202E-06
8.0900E+00	8.8901E-06
8.1000E+00	8.8601E-06
8.1100E+00	8.8302E-06
8.1200E+00	8.8005E-06
8.1300E+00	8.7709E-06
8.1400E+00	8.7414E-06
8.1500E+00	8.7120E-06
8.1600E+00	8.6828E-06
8.1700E+00	8.6537E-06
8.1800E+00	8.6247E-06
8.1900E+00	8.5958E-06
8.2000E+00	8.5670E-06
8.2100E+00	8.5384E-06
8.2200E+00	8.5099E-06
8.2300E+00	8.4815E-06
8.2400E+00	8.4532E-06
8.2500E+00	8.4250E-06
8.2600E+00	8.3970E-06
8.2700E+00	8.3691E-06
8.2800E+00	8.3412E-06
8.2900E+00	8.3135E-06
8.3000E+00	8.2860E-06
8.3100E+00	8.2585E-06
8.3200E+00	8.2311E-06
8.3300E+00	8.2039E-06
8.3400E+00	8.1768E-06
8.3500E+00	8.1498E-06
8.3600E+00	8.1228E-06
8.3700E+00	8.0960E-06
8.3800E+00	8.0694E-06
8.3900E+00	8.0428E-06
8.4000E+00	8.0163E-06
8.4100E+00	7.9900E-06
8.4200E+00	7.9637E-06
8.4300E+00	7.9376E-06
8.4400E+00	7.9115E-06
8.4500E+00	7.8856E-06
8.4600E+00	7.8598E-06
8.4700E+00	7.8341E-06
8.4800E+00	7.8085E-06
8.4900E+00	7.7830E-06
8.5000E+00	7.7576E-06
8.5100E+00	7.7323E-06
8.5200E+00	7.7071E-06
8.5300E+00	7.6820E-06
8.5400E+00	7.6570E-06
8.5500E+00	7.6321E-06
8.5600E+00	7.6073E-06
8.5700E+00	7.5826E-06
8.5800E+00	7.5580E-06
8.5900E+00	7.5335E-06
8.6000E+00	7.5091E-06
8.6100E+00	7.4848E-06
8.6200E+00	7.4606E-06
8.6300E+00	7.4365E-06
8.6400E+00	7.4125E-06
8.6500E+00	7.3886E-06
8.6600E+00	7.3648E-06
8.6700E+00	7.3411E-06
8.6800E+00	7.3175E-06
8.6900E+00	7.2940E-06
8.7000E+00	7.2706E-06
