Q2	Fs	dFs
4.7700E+00	3.0224E-04	4.9061E-04
4.7800E+00	3.0103E-04	4.8933E-04
4.7900E+00	2.9983E-04	4.8805E-04
4.8000E+00	2.9863E-04	4.8678E-04
4.8100E+00	2.9744E-04	4.8551E-04
4.8200E+00	2.9626E-04	4.8424E-04
4.8300E+00	2.9508E-04	4.8298E-04
4.8400E+00	2.9391E-04	4.8171E-04
4.8500E+00	2.9274E-04	4.8046E-04
4.8600E+00	2.9158E-04	4.7920E-04
4.8700E+00	2.9043E-04	4.7795E-04
4.8800E+00	2.8928E-04	4.7671E-04
4.8900E+00	2.8813E-04	4.7546E-04
4.9000E+00	2.8699E-04	4.7422E-04
4.9100E+00	2.8586E-04	4.7299E-04
4.9200E+00	2.8473E-04	4.7175E-04
4.9300E+00	2.8361E-04	4.7052E-04
4.9400E+00	2.8249E-04	4.6930E-04
4.9500E+00	2.8138E-04	4.6808E-04
4.9600E+00	2.8027E-04	4.6686E-04
4.9700E+00	2.7917E-04	4.6564E-04
4.9800E+00	2.7808E-04	4.6443E-04
4.9900E+00	2.7699E-04	4.6322E-04
5.0000E+00	2.7590E-04	4.6202E-04
5.0100E+00	2.7482E-04	4.6081E-04
5.0200E+00	2.7375E-04	4.5962E-04
5.0300E+00	2.7268E-04	4.5842E-04
5.0400E+00	2.7161E-04	4.5723E-04
5.0500E+00	2.7056E-04	4.5604E-04
5.0600E+00	2.6950E-04	4.5486E-04
5.0700E+00	2.6845E-04	4.5368E-04
5.0800E+00	2.6741E-04	4.5250E-04
5.0900E+00	2.6637E-04	4.5132E-04
5.1000E+00	2.6534E-04	4.5015E-04
5.1100E+00	2.6431E-04	4.4898E-04
5.1200E+00	2.6328E-04	4.4782E-04
5.1300E+00	2.6226E-04	4.4666E-04
5.1400E+00	2.6125E-04	4.4550E-04
5.1500E+00	2.6024E-04	4.4434E-04
5.1600E+00	2.5923E-04	4.4319E-04
5.1700E+00	2.5823E-04	4.4204E-04
5.1800E+00	2.5724E-04	4.4090E-04
5.1900E+00	2.5625E-04	4.3976E-04
5.2000E+00	2.5526E-04	4.3862E-04
5.2100E+00	2.5428E-04	4.3749E-04
5.2200E+00	2.5330E-04	4.3635E-04
5.2300E+00	2.5233E-04	4.3523E-04
5.2400E+00	2.5136E-04	4.3410E-04
5.2500E+00	2.5040E-04	4.3298E-04
5.2600E+00	2.4944E-04	4.3186E-04
5.2700E+00	2.4849E-04	4.3074E-04
5.2800E+00	2.4754E-04	4.2963E-04
5.2900E+00	2.4660E-04	4.2852E-04
5.3000E+00	2.4566E-04	4.2742E-04
5.3100E+00	2.4472E-04	4.2631E-04
5.3200E+00	2.4379E-04	4.2521E-04
5.3300E+00	2.4286E-04	4.2412E-04
5.3400E+00	2.4194E-04	4.2302E-04
5.3500E+00	2.4102E-04	4.2193E-04
5.3600E+00	2.4010E-04	4.2085E-04
5.3700E+00	2.3919E-04	4.1976E-04
5.3800E+00	2.3829E-04	4.1868E-04
5.3900E+00	2.3739E-04	4.1761E-04
5.4000E+00	2.3649E-04	4.1653E-04
5.4100E+00	2.3560E-04	4.1546E-04
5.4200E+00	2.3471E-04	4.1439E-04
5.4300E+00	2.3382E-04	4.1333E-04
5.4400E+00	2.3294E-04	4.1226E-04
5.4500E+00	2.3207E-04	4.1121E-04
5.4600E+00	2.3119E-04	4.1015E-04
5.4700E+00	2.3033E-04	4.0910E-04
5.4800E+00	2.2946E-04	4.0805E-04
5.4900E+00	2.2860E-04	4.0700E-04
5.5000E+00	2.2774E-04	4.0596E-04
5.5100E+00	2.2689E-04	4.0492E-04
5.5200E+00	2.2604E-04	4.0388E-04
5.5300E+00	2.2520E-04	4.0284E-04
5.5400E+00	2.2436E-04	4.0181E-04
5.5500E+00	2.2352E-04	4.0078E-04
5.5600E+00	2.2269E-04	3.9976E-04
5.5700E+00	2.2186E-04	3.9874E-04
5.5800E+00	2.2103E-04	3.9772E-04
5.5900E+00	2.2021E-04	3.9670E-04
5.6000E+00	2.1939E-04	3.9569E-04
5.6100E+00	2.1858E-04	3.9467E-04
5.6200E+00	2.1777E-04	3.9367E-04
5.6300E+00	2.1696E-04	3.9266E-04
5.6400E+00	2.1616E-04	3.9166E-04
5.6500E+00	2.1536E-04	3.9066E-04
5.6600E+00	2.1456E-04	3.8966E-04
5.6700E+00	2.1377E-04	3.8867E-04
5.6800E+00	2.1298E-04	3.8768E-04
5.6900E+00	2.1220E-04	3.8669E-04
5.7000E+00	2.1142E-04	3.8571E-04
5.7100E+00	2.1064E-04	3.8473E-04
5.7200E+00	2.0987E-04	3.8375E-04
5.7300E+00	2.0910E-04	3.8277E-04
5.7400E+00	2.0833E-04	3.8180E-04
5.7500E+00	2.0757E-04	3.8083E-04
5.7600E+00	2.0680E-04	3.7986E-04
5.7700E+00	2.0605E-04	3.7890E-04
5.7800E+00	2.0529E-04	3.7794E-04
5.7900E+00	2.0454E-04	3.7698E-04
